AIR_CANNOT_FLY_ACCEL = "目前无法使用舞空加速。"
AIR_CANNOT_FLY_JUMP_NOT_ENOUGH_AP = "飞行需要至少10AP。"
AIR_CANNOT_USE_ITEM_NO_HAVE_AIR_SKILL = "你需要飞行能力来使用这个。"
AUTH_AUTHKEY_FAIL = "[align = ""center""][font size = ""12"" color=""f4d762""]认证确认[/font][br][br][font size = ""10"" color=""f36a7c""]认证失败。[/font]"
AUTH_COMMON_CANT_DO_THAT_FOR_SOME_REASON = "目前无法处理。"
AUTH_DB_FAIL = "[align = ""center""][font size = ""12"" color= ""f4d762""]DB连接[/font][br][br][font size = ""10"" color= ""f36a7c""]加载数据失败，请稍后再试。 [/font]"
AUTH_FAIL = "[align = ""center""][font size = ""12"" color= ""f4d762""]系统描述[/font][br][br][font size = ""10"" color= ""f36a7c""]如果错误持续存在，请联系客户服务。(#A)[/font]"
AUTH_INVALID_CJI_KOR_COOKIE = "[align = ""center""][font size = ""12"" color= ""f4d762""]游戏连接描述[/font][br][br][font size = ""10"" color= ""f36a7c""]输入了无效cookie[/font]"
AUTH_IP_BLOCK = "[align = ""center""][font size = ""12"" color=""f4d762""]连接被阻止[/font][br][br][font size = ""10"" color=""f36a7c""]你的IP被阻止了[/font]"
AUTH_NO_AVAILABLE_CHARACTER_SERVER = "[align = ""center""][font size = ""12"" color= ""f4d762""]服务器连接[/font][br][br][font size = ""10"" color= ""f36a7c""]目前没有连接到服务器，[br]请等待，以后重试[/font]"
AUTH_SERVER_LOCKED = "[align = ""center""][font size = ""12"" color= ""f4d762""]服务器连接[/font][br][br][font size = ""10"" color= ""f36a7c""]与服务器的连接已经被锁定，请稍后再试。[/font]"
AUTH_TOO_LONG_ACCOUNT = "[align = ""center""][font size = ""12"" color= ""f4d762""]请输入昵称[/font][br][br][font size = ""10"" color= ""f36a7c""]请输入一个2~8字的中文/韩语名字[/font]"
AUTH_TOO_LONG_PASSWORD = "[align = ""center""][font size = ""12"" color= ""f4d762""]输入密码[/font][br][font size = ""10"" color= ""f36a7c""]输入一个包含英文字母和数字的4-6字母密码[/font]"
AUTH_USER_BLOCK = "[align = ""center""][font size = ""12"" color= ""f4d762""]账户通知[/font][br][br][font size = ""10"" color= ""f36a7c""]此账户已被封锁。[/font]"
AUTH_USER_EXIST = "[align = ""center""][font size = ""12"" color= ""f4d762""]用户名确认[/font][br][br][font size = ""10"" color= ""f36a7c""]这个账户已经连接，请确认你的用户名是否正确[/font]"
AUTH_USER_EXIST_IN_CHARACTER_SERVER = "[align = ""center""][font size = ""12"" color= ""f4d762""]角色连接确认[/font][br][br][font size = ""10"" color= ""f36a7c""]此角色目前已连接，[br]请稍后再试。[/font]"
AUTH_USER_KICKOUT_WAIT_PLZ = "[align = ""center""][font size = ""12"" color= ""f4d762""]游戏连接描述[/font][br][br][font size = ""10"" color= ""f36a7c""]玩家已经断开连接，请再试。[/font]"
AUTH_USER_NOT_FOUND = "[align = ""center""][font size = ""12"" color= ""f4d762""]用户名确认[/font][br][br][font size = ""10"" color= ""f36a7c""]这个账户不存在。[br]请确认你的用户名是否正确。[/font] "
AUTH_USER_SAMENAME_EXIST = "[align = ""center""][font size = ""12"" color= ""f4d762""]账户确认[/font][br][br][font size = ""10"" color= ""f36a7c""]该账户目前已连接到服务器，请稍后再尝试。[/font]"
